2.3659 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
11.5294 	EXP 	window1: mouseVisible = True
11.5332 	EXP 	window1: mouseVisible = True
11.5333 	EXP 	window1: mouseVisible = True
11.5337 	EXP 	window1: mouseVisible = True
11.5342 	EXP 	window1: mouseVisible = True
11.5375 	EXP 	window1: mouseVisible = True
11.5375 	EXP 	window1: mouseVisible = True
11.5417 	EXP 	Created image_20 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, image='stim/obj1.png', interpolate=True, mask=None, maskParams=None, name='image_20', opacity=1.0, ori=0.0, pos=array([0.  , 0.23]), size=array([0.15, 0.15]), texRes=128.0, units='height', win=Window(...))
11.5418 	EXP 	window1: mouseVisible = True
11.5505 	EXP 	Created imageInstruct_2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='imageInstruct_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.6    , 1.00736]), texRes=128.0, units='height', win=Window(...))
11.5508 	EXP 	window1: mouseVisible = True
11.5509 	EXP 	window1: mouseVisible = True
11.5513 	EXP 	window1: mouseVisible = True
11.5519 	EXP 	window1: mouseVisible = True
11.5555 	EXP 	window1: mouseVisible = True
11.5556 	EXP 	window1: mouseVisible = True
11.5560 	EXP 	window1: mouseVisible = True
11.5564 	EXP 	window1: mouseVisible = True
11.5597 	EXP 	window1: mouseVisible = True
11.5599 	EXP 	window1: mouseVisible = True
11.5600 	EXP 	window1: mouseVisible = True
11.5604 	EXP 	window1: mouseVisible = True
11.5608 	EXP 	window1: mouseVisible = True
11.5645 	EXP 	window1: mouseVisible = True
11.5646 	EXP 	window1: mouseVisible = True
11.5650 	EXP 	window1: mouseVisible = True
11.5654 	EXP 	window1: mouseVisible = True
11.5687 	EXP 	window1: mouseVisible = True
11.5688 	EXP 	window1: mouseVisible = True
11.5838 	EXP 	Created text_17 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_17', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
11.5839 	EXP 	window1: mouseVisible = True
11.5928 	EXP 	Created cue = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='cue', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.15, 0.15]), texRes=128.0, units='height', win=Window(...))
11.5929 	EXP 	window1: mouseVisible = True
11.5947 	EXP 	Created fixCrossR_6 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([-1, -1, -1]), fillColorSpace='rgb', fillRGB=array([-1, -1, -1]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1, -1, -1]), lineWidth=1.0, name='fixCrossR_6', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.02, 0.02]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
11.5948 	EXP 	window1: mouseVisible = True
11.6037 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
11.6039 	EXP 	window1: mouseVisible = True
