category,orientation,taskCue,stimfile,resp1,resp2,resp3,resp4,resp5,resp6,resp7,resp8,objFirst,correctButton,interval,delete.thisRepN,delete.thisTrialN,delete.thisN,delete.thisIndex,babySteps.thisRepN,babySteps.thisTrialN,babySteps.thisN,babySteps.thisIndex,babyloop.thisRepN,babyloop.thisTrialN,babyloop.thisN,babyloop.thisIndex,thisRow.t,notes,trainingPrep.started,trainingPrep.stopped,Intro.started,text.started,key_resp_5.started,Intro.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,taskcue.started,cue.started,cue.stopped,taskcue.stopped,stim.started,image.started,fixCrossR_2.started,image.stopped,fixCrossR_2.stopped,stim.stopped,delay.started,fixCrossR_4.started,fixCrossR_4.stopped,delay.stopped,bResponse.started,fixCross_2.started,text1_2.started,text2_2.started,text3_2.started,text4_2.started,text5_2.started,text6_2.started,text7_2.started,text8_2.started,kb_2.started,num1_2.started,num2_2.started,num3_2.started,num4_2.started,key_resp_2.started,bResponse.stopped,kb_2.keys,kb_2.rt,kb_2.duration,key_resp_2.keys,participant,session,date,expName,psychopyVersion,frameRate,expStart,
turtle,3,stim//ori1.png,stim//turtle3.png,Full Left,Full Right,Half Left,Half Right,Car,Shoe,Turtle,Horse,False,4,2.49,,,,,0,2,2,2,1,0,1,0,15.562063999997918,,,,,,,,,,,,,,,15.429341500042938,15.562063999997918,15.562063999997918,15.812057000002824,15.812057000002824,15.79625810001744,15.79628990002675,15.812057000002824,16.229084699996747,16.046162500046194,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_18h11.12.323,pilotv2,2023.2.3,59.84465523845548,2023-11-08 18h11.23.288303 +0100,
turtle,3,stim//ori1.png,stim//turtle3.png,Full Left,Full Right,Half Left,Half Right,Car,Shoe,Turtle,Horse,False,4,2.49,,,,,0,2,2,2,2,0,2,0,16.229084699996747,,,,,,,,,,,,,,,16.04641420004191,16.229084699996747,16.229084699996747,16.479334500036202,16.479334500036202,16.463183500047307,16.46319720003521,16.479334500036202,16.762745500018355,16.713497000047937,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_18h11.12.323,pilotv2,2023.2.3,59.84465523845548,2023-11-08 18h11.23.288303 +0100,
turtle,3,stim//ori1.png,stim//turtle3.png,Full Left,Full Right,Half Left,Half Right,Car,Shoe,Turtle,Horse,False,4,2.49,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.729201000009198,16.762745500018355,16.762745500018355,16.762745500018355,16.762745500018355,16.762745500018355,16.762745500018355,16.762745500018355,16.762745500018355,16.762745500018355,16.762745500018355,16.762745500018355,16.762745500018355,16.762745500018355,16.762745500018355,16.762745500018355,23.38653090002481,3,3.6136985999764875,None,None,12,0,2023-11-08_18h11.12.323,pilotv2,2023.2.3,59.84465523845548,2023-11-08 18h11.23.288303 +0100,
car,3,stim//ori1.png,stim//car3.png,Horse,Car,Turtle,Shoe,Full Right,Full Left,Half Left,Half Right,True,4,2.453,,,,,0,3,3,3,0,0,0,0,24.502821600006428,,,,,,,,,,,23.38770740001928,23.401772400015034,24.502821600006428,24.386584600026254,24.387034900020808,24.502821600006428,24.502821600006428,24.752921400009654,24.752921400009654,24.73698129999684,24.736996899999212,24.752921400009654,25.103096300037578,24.98720620002132,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_18h11.12.323,pilotv2,2023.2.3,59.84465523845548,2023-11-08 18h11.23.288303 +0100,
car,3,stim//ori1.png,stim//car3.png,Horse,Car,Turtle,Shoe,Full Right,Full Left,Half Left,Half Right,True,4,2.453,,,,,0,3,3,3,1,0,1,0,25.103096300037578,,,,,,,,,,,,,,,24.987523100047838,25.103096300037578,25.103096300037578,25.353434499993455,25.353434499993455,25.33727140002884,25.337296600046102,25.353434499993455,25.770391800033394,25.5874107000418,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_18h11.12.323,pilotv2,2023.2.3,59.84465523845548,2023-11-08 18h11.23.288303 +0100,
car,3,stim//ori1.png,stim//car3.png,Horse,Car,Turtle,Shoe,Full Right,Full Left,Half Left,Half Right,True,4,2.453,,,,,0,3,3,3,2,0,2,0,25.770391800033394,,,,,,,,,,,,,,,25.5878376000328,25.770391800033394,25.770391800033394,26.020670800004154,26.020670800004154,26.004755900008604,26.004787700017914,26.020670800004154,26.304266099992674,26.254742000019178,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_18h11.12.323,pilotv2,2023.2.3,59.84465523845548,2023-11-08 18h11.23.288303 +0100,
car,3,stim//ori1.png,stim//car3.png,Horse,Car,Turtle,Shoe,Full Right,Full Left,Half Left,Half Right,True,4,2.453,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.274723900016397,26.304266099992674,26.304266099992674,26.304266099992674,26.304266099992674,26.304266099992674,26.304266099992674,26.304266099992674,26.304266099992674,26.304266099992674,26.304266099992674,26.304266099992674,26.304266099992674,26.304266099992674,26.304266099992674,26.304266099992674,32.06038300000364,1,2.7363710000063293,None,None,12,0,2023-11-08_18h11.12.323,pilotv2,2023.2.3,59.84465523845548,2023-11-08 18h11.23.288303 +0100,
shoe,4,stim//obj1.png,stim//shoe4.png,Half Left,Half Right,Full Right,Full Left,Turtle,Car,Horse,Shoe,False,4,2.826,,,,,0,4,4,4,0,0,0,0,33.178149999992456,,,,,,,,,,,32.06155560002662,32.0754816000117,33.178149999992456,33.060760400025174,33.0615642000339,33.178149999992456,33.178149999992456,33.42678760003764,33.42678760003764,33.41079400002491,33.41082530003041,33.42678760003764,33.79373239999404,33.66094880003948,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_18h11.12.323,pilotv2,2023.2.3,59.84465523845548,2023-11-08 18h11.23.288303 +0100,
shoe,4,stim//obj1.png,stim//shoe4.png,Half Left,Half Right,Full Right,Full Left,Turtle,Car,Horse,Shoe,False,4,2.826,,,,,0,4,4,4,1,0,1,0,33.79373239999404,,,,,,,,,,,,,,,33.66120160004357,33.79373239999404,33.79373239999404,34.04397550004069,34.04397550004069,34.027624600043055,34.027638800034765,34.04397550004069,34.460626300016884,34.278065800026525,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_18h11.12.323,pilotv2,2023.2.3,59.84465523845548,2023-11-08 18h11.23.288303 +0100,
shoe,4,stim//obj1.png,stim//shoe4.png,Half Left,Half Right,Full Right,Full Left,Turtle,Car,Horse,Shoe,False,4,2.826,,,,,0,4,4,4,2,0,2,0,34.460626300016884,,,,,,,,,,,,,,,34.27832860004855,34.460626300016884,34.460626300016884,34.71125520003261,34.71125520003261,34.6951490000356,34.69516260002274,34.71125520003261,34.9948335000081,34.94527339999331,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_18h11.12.323,pilotv2,2023.2.3,59.84465523845548,2023-11-08 18h11.23.288303 +0100,
shoe,4,stim//obj1.png,stim//shoe4.png,Half Left,Half Right,Full Right,Full Left,Turtle,Car,Horse,Shoe,False,4,2.826,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.96693729999242,34.9948335000081,34.9948335000081,34.9948335000081,34.9948335000081,34.9948335000081,34.9948335000081,34.9948335000081,34.9948335000081,34.9948335000081,34.9948335000081,34.9948335000081,34.9948335000081,34.9948335000081,34.9948335000081,34.9948335000081,40.36702720000176,4,2.365813399956096,None,None,12,0,2023-11-08_18h11.12.323,pilotv2,2023.2.3,59.84465523845548,2023-11-08 18h11.23.288303 +0100,
