category,orientation,taskCue,stimfile,resp1,resp2,resp3,resp4,resp5,resp6,resp7,resp8,objFirst,interval,n,kb.duration_raw,kb.keys_raw,kb.rt_mean,kb.rt_raw,kb.rt_std,order
car,2,stim//ori1.png,stim//car2.png,Full Left,Full Right,Half Right,Half Left,Shoe,Car,Turtle,Horse,False,2.676,0.0,'--','--',,,,
turtle,4,stim//ori1.png,stim//turtle4.png,Full Right,Half Right,Half Left,Full Left,Horse,Shoe,Car,Turtle,False,2.457,0.0,'--','--',,,,
shoe,4,stim//ori1.png,stim//shoe4.png,Half Left,Full Right,Full Left,Half Right,Shoe,Horse,Turtle,Car,False,2.742,0.0,'--','--',,,,
turtle,2,stim//ori2.png,stim//turtle2.png,Half Left,Full Right,Half Right,Full Left,Horse,Shoe,Turtle,Car,False,2.57,0.0,'--','--',,,,
shoe,1,stim//obj1.png,stim//shoe1.png,Full Left,Full Right,Half Right,Half Left,Shoe,Horse,Turtle,Car,False,2.617,0.0,'--','--',,,,
shoe,2,stim//ori1.png,stim//shoe2.png,Half Right,Full Left,Half Left,Full Right,Shoe,Horse,Turtle,Car,False,2.643,0.0,'--','--',,,,
turtle,4,stim//obj2.png,stim//turtle4.png,Half Right,Half Left,Full Left,Full Right,Car,Shoe,Turtle,Horse,False,2.3,0.0,'--','--',,,,
turtle,3,stim//ori2.png,stim//turtle3.png,Car,Turtle,Shoe,Horse,Half Right,Full Right,Full Left,Half Left,True,2.49,0.0,'--','--',,,,
car,4,stim//obj2.png,stim//car4.png,Full Right,Full Left,Half Left,Half Right,Car,Turtle,Shoe,Horse,False,2.687,0.0,'--','--',,,,
horse,3,stim//ori1.png,stim//horse3.png,Full Left,Full Right,Half Right,Half Left,Turtle,Shoe,Horse,Car,False,2.6,0.0,'--','--',,,,
shoe,3,stim//obj1.png,stim//shoe3.png,Horse,Car,Turtle,Shoe,Full Left,Half Right,Full Right,Half Left,True,2.409,0.0,'--','--',,,,
car,4,stim//ori2.png,stim//car4.png,Half Right,Full Right,Half Left,Full Left,Turtle,Car,Shoe,Horse,False,2.412,0.0,'--','--',,,,
shoe,2,stim//obj1.png,stim//shoe2.png,Full Left,Half Left,Full Right,Half Right,Horse,Turtle,Car,Shoe,False,2.619,0.0,'--','--',,,,
horse,1,stim//ori1.png,stim//horse1.png,Shoe,Turtle,Horse,Car,Half Left,Full Left,Full Right,Half Right,True,2.527,0.0,'--','--',,,,
horse,4,stim//obj1.png,stim//horse4.png,Half Left,Half Right,Full Right,Full Left,Shoe,Car,Turtle,Horse,False,2.421,0.0,'--','--',,,,
shoe,3,stim//ori2.png,stim//shoe3.png,Car,Shoe,Turtle,Horse,Half Left,Full Left,Half Right,Full Right,True,2.82,0.0,'--','--',,,,
turtle,2,stim//ori1.png,stim//turtle2.png,Half Left,Half Right,Full Right,Full Left,Shoe,Car,Horse,Turtle,False,2.467,0.0,'--','--',,,,

extraInfo
participant,44
session,5
date,2023-11-07_11h09.39.777
expName,pilotv2
psychopyVersion,2023.2.3
frameRate,60.18813608595366
expStart,2023-11-07 11h10.03.394798 +0100
