InstructionsFilepath,Instructions2Filepath,category,orientation,taskCue,stimfile,resp1,resp2,resp3,resp4,resp5,resp6,resp7,resp8,objFirst,interval,trainingLoop.thisRepN,trainingLoop.thisTrialN,trainingLoop.thisN,trainingLoop.thisIndex,instructions_controller.thisRepN,instructions_controller.thisTrialN,instructions_controller.thisN,instructions_controller.thisIndex,instruction_slide_loop.thisRepN,instruction_slide_loop.thisTrialN,instruction_slide_loop.thisN,instruction_slide_loop.thisIndex,instructions2_controller.thisRepN,instructions2_controller.thisTrialN,instructions2_controller.thisN,instructions2_controller.thisIndex,instruction2_slide_loop.thisRepN,instruction2_slide_loop.thisTrialN,instruction2_slide_loop.thisN,instruction2_slide_loop.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,stimloop.thisRepN,stimloop.thisTrialN,stimloop.thisN,stimloop.thisIndex,thisRow.t,notes,trainingPrep.started,trainingPrep.stopped,instructionPrep.started,instructionPrep.stopped,Instructions1.started,imageInstruct.started,buttonNext.started,buttonBack.started,Instructions1.stopped,buttonNext.numClicks,buttonNext.timesOn,buttonNext.timesOff,buttonBack.numClicks,buttonBack.timesOn,buttonBack.timesOff,test1.started,text_8.started,button.started,button_2.started,image_17.started,test1.stopped,button.numClicks,button.timesOn,button.timesOff,button_2.numClicks,button_2.timesOn,button_2.timesOff,test2.started,text_9.started,button_3.started,button_4.started,image_18.started,test2.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,button_4.numClicks,button_4.timesOn,button_4.timesOff,test3.started,text_10.started,button_5.started,button_7.started,image_19.started,test3.stopped,button_5.numClicks,button_5.timesOn,button_5.timesOff,button_7.numClicks,button_7.timesOn,button_7.timesOff,test4.started,text_11.started,button_6.started,button_8.started,image_20.started,test4.stopped,button_6.numClicks,button_6.timesOn,button_6.timesOff,button_8.numClicks,button_8.timesOn,button_8.timesOff,instruction2prep.started,instruction2prep.stopped,Instructions2.started,imageInstruct_2.started,buttonNext_2.started,buttonBack_2.started,Instructions2.stopped,buttonNext_2.numClicks,buttonNext_2.timesOn,buttonNext_2.timesOff,buttonBack_2.numClicks,buttonBack_2.timesOn,buttonBack_2.timesOff,Intro.started,text.started,key_resp_5.started,Intro.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,taskcue.started,cue.started,taskcue.stopped,stim.started,image.started,fixCrossR_2.started,image.stopped,fixCrossR_2.stopped,stim.stopped,delay.started,fixCrossR_4.started,fixCrossR_4.stopped,delay.stopped,response.started,fixCross.started,text1.started,text2.started,text3.started,text4.started,text5.started,text6.started,text7.started,text8.started,kb.started,num1.started,num2.started,num3.started,num4.started,response.stopped,kb.keys,kb.rt,kb.duration,ITI.started,fixCrossR.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,0,2023-11-06_23h29.14.955,pilotv2,2023.2.3,59.92046158750204,2023-11-06 23h29.23.585083 +0100,
,instructions//slide11.png,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,4,0,4,0,0,0,0,0,,,,,,,,,15.970977199991466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.858445699996082,15.85889049997786,15.863357900001574,15.970977199991466,15.970977199991466,15.970977199991466,16.50354459998198,1,[0.5550152000214439],[0.5550243000034243],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,0,2023-11-06_23h29.14.955,pilotv2,2023.2.3,59.92046158750204,2023-11-06 23h29.23.585083 +0100,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,0,2023-11-06_23h29.14.955,pilotv2,2023.2.3,59.92046158750204,2023-11-06 23h29.23.585083 +0100,
,instructions//slide12.png,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,5,0,5,0,0,0,0,0,,,,,,,,,16.71255399999791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.618041099980474,16.61854639998637,16.622654499980854,16.71255399999791,16.71255399999791,16.71255399999791,18.647409899975173,1,[1.9572234000079334],[1.9572328999929596],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,0,2023-11-06_23h29.14.955,pilotv2,2023.2.3,59.92046158750204,2023-11-06 23h29.23.585083 +0100,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,0,2023-11-06_23h29.14.955,pilotv2,2023.2.3,59.92046158750204,2023-11-06 23h29.23.585083 +0100,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,6,0,6,0,,,,,,,,,,,,,19.129357500001788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.771352199983085,18.771894999983488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,0,2023-11-06_23h29.14.955,pilotv2,2023.2.3,59.92046158750204,2023-11-06 23h29.23.585083 +0100,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,0,2023-11-06_23h29.14.955,pilotv2,2023.2.3,59.92046158750204,2023-11-06 23h29.23.585083 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.113958399975672,19.129357500001788,19.129357500001788,22.13035389999277,['5'],[3.0000513999839313],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,0,2023-11-06_23h29.14.955,pilotv2,2023.2.3,59.92046158750204,2023-11-06 23h29.23.585083 +0100,
,,car,2,stim//obj2.png,stim//car2.png,turtle,shoe,car,horse,full left,slight right,slight left,full right,True,2.581,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,23.41261939998367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.152640899992548,22.16250979999313,23.146025399997598,23.14691939999466,23.41261939998367,23.41261939998367,23.66264999998384,23.66264999998384,23.646498199988855,23.646513699990464,23.66264999998384,24.029132700001355,23.897017199982656,,,,,,,,,,,,,,,,,,,,,,69,0,2023-11-06_23h29.14.955,pilotv2,2023.2.3,59.92046158750204,2023-11-06 23h29.23.585083 +0100,
,,car,2,stim//obj2.png,stim//car2.png,turtle,shoe,car,horse,full left,slight right,slight left,full right,True,2.581,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,24.029132700001355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.89738509999006,24.029132700001355,24.029132700001355,24.279145299980883,24.279145299980883,24.26345569998375,24.263490199984517,24.279145299980883,24.73030589998234,24.51298559998395,,,,,,,,,,,,,,,,,,,,,,69,0,2023-11-06_23h29.14.955,pilotv2,2023.2.3,59.92046158750204,2023-11-06 23h29.23.585083 +0100,
,,car,2,stim//obj2.png,stim//car2.png,turtle,shoe,car,horse,full left,slight right,slight left,full right,True,2.581,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,24.73030589998234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.513518199993996,24.73030589998234,24.73030589998234,24.97921179997502,24.97921179997502,24.963325299991993,24.963354299979983,24.97921179997502,25.495940900000278,25.2138386000006,,,,,,,,,,,,,,,,,,,,,,69,0,2023-11-06_23h29.14.955,pilotv2,2023.2.3,59.92046158750204,2023-11-06 23h29.23.585083 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.44163829999161,25.495940900000278,25.495940900000278,25.495940900000278,25.495940900000278,25.495940900000278,25.495940900000278,25.495940900000278,25.495940900000278,25.495940900000278,25.495940900000278,25.495940900000278,25.495940900000278,25.495940900000278,25.495940900000278,28.229545899986988,1,0.6672767999989446,None,28.23079129998223,28.246026099979645,,,,,,,,
